주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,열매수,,,,,,,,
40,30.25,23.04166667,9.620833333,46.125,11.875,4.356666667,5.074166667,9.708333333,,,,,,,,
41,20.70833333,24.29166667,8.3875,44.125,11.79166667,5.0525,5.668333333,11.04166667,,,,,,,,
42,14.3,11.7,8.1,44.2,15.6,6.1,6.7,14.7,,,,,,,,
43,18.1,9.5,9.2,47.1,13.6,6.8,7.3,16.8,,,,,,,,
43,18.75,25.5,10.125,39.75,15.5,6.675,7.125,15.75,,,,,,,,
44,19,25.5,9.25,38.75,16,6.95,7.725,15.75,,,,,,,,
40,22,20.25,9.85,37,19.5,6.375,7.3,13,,,,,,,,
41,21,25.5,10.25,43.25,17.5,7.15,8.075,15.5,,,,,,,,
46,17.5,0,11.75,0,12.75,0,4.15625,19,,,,,,,,
47,16,27.75,11.95,0,12.5,7.7,8.825,17.25,,,,,,,,
42,25.775,30.2375,12.52125,51.975,13.125,4.10375,5.15625,15.375,,,,,,,,
43,21.89875,24.4625,11.6175,48.5,12.875,5.165,5.85125,18.25,,,,,,,,
40,31.05,34,13.9225,49.25,17.75,2.8125,3.725,10.5,,,,,,,,
41,25.875,8.625,10.9175,48.5,14.25,3.625,5.125,13.5,,,,,,,,
42,19.33333333,22.13333333,10.42875,46.375,13.58333333,6.58125,6.804166667,19.20833333,,,,,,,,
43,21,10,7.81,40,18,8,8.3,21,,,,,,,,
42,16.425,7.975,0,29.825,15,4.5,5.5625,14.25,,,,,,,,
43,0,11.925,7.08,32.5375,12,5.33125,6.11375,15.125,,,,,,,,
7,25.81666667,29.84,12.95833333,45.06666667,11.5,8.425,8.993333333,24.66666667,,,,,,,,
8,24.41666667,18.65,12.63666667,45.53333333,12.5,9.558333333,10.04333333,25.16666667,,,,,,,,
9,23.76666667,0,14.91,46.08333333,11.66666667,10.18253968,10.54833333,24.83333333,,,,,,,,
10,23.33333333,0,0,46.33333333,14.5,10.89880952,11.445,25.16666667,,,,,,,,
11,20.86666667,26.08333333,13.90166667,46,12.16666667,11.52380952,12.30166667,27,,,,,,,,
12,24.05,21.75,12.94,45.5,14.66666667,12.75,13.28166667,26.83333333,,,,,,,,
13,18.75,22.5,11.595,44.83333333,16.66666667,13.55555556,14.09666667,27.16666667,,,,,,,,
14,24.25,23.33333333,0,45.66666667,17,14.32910053,15.07833333,26.66666667,,,,,,,,
15,21.58333333,20.66666667,12.36833333,44.33333333,18.83333333,15.39583333,15.83,25.16666667,,,,,,,,
16,21.83333333,24.41666667,12.76333333,45.66666667,18,16.27142857,16.74666667,24.66666667,,,,,,,,
17,22.23333333,18.38333333,11.79333333,46.25,19.16666667,17.00099206,17.72166667,23.33333333,,,,,,,,
18,23,20.83333333,0,46.5,19.33333333,18.05714286,18.565,22.66666667,,,,,,,,
19,24.58333333,20.08333333,10.67833333,46.08333333,20,18.98809524,19.52333333,20,,,,,,,,
20,0,0,0,0,18.83333333,19.65992063,20.245,24.33333333,,,,,,,,
49,23.58333333,27.7,9.64,43.43333333,8.833333333,7.95,8.333333333,18.5,,,,,,,,
50,15.41666667,33.16666667,9.855,44.58333333,9.166666667,8.325,8.775,17.5,,,,,,,,
51,14.58333333,30.16666667,9.318333333,45.73333333,10.33333333,8.980555556,9.254833333,17,,,,,,,,
52,16.33333333,0,9.835,38,11.83333333,9.666666667,10.10166667,0,,,,,,,,
1,19.35,0,0,0,0,0,4.15625,0,,,,,,,,
2,19.31666667,27.36666667,10.99,43.7,10.83333333,10.43857143,10.59166667,13.5,,,,,,,,
3,19.01666667,20.66666667,9.805,38.01666667,10.83333333,11.05666667,11.36666667,13.66666667,,,,,,,,
4,18.16666667,24.7,8.775,40.3,9.166666667,11.61904762,11.97666667,14.83333333,,,,,,,,
5,20.15,18.76666667,9.615,39.46666667,11.33333333,12.30928571,12.75,15,,,,,,,,
6,21.53333333,0,0,0,0,0,4.15625,0,,,,,,,,
7,21.55,25.4,10.55,40.66666667,11,13.71527778,13.865,16.66666667,,,,,,,,
8,21.2,21.7,9.76,39,11.5,14.17857143,14.525,18.66666667,,,,,,,,
9,18.55,25.08333333,10.83833333,40.53333333,10.83333333,14.92222222,15.145,16.33333333,,,,,,,,
10,17.25,22.41666667,10.62666667,39.5,10.33333333,15.43511905,15.93833333,17.33333333,,,,,,,,
11,23.5,0,11.55666667,41.08333333,11,16.24722222,16.63,19.83333333,,,,,,,,
49,22.81666667,24.71666667,13.25666667,51.85,12.33333333,10,10.36666667,18.16666667,,,,,,,,
50,18.8,20.3,11.07833333,52.41666667,11.83333333,10.46825397,11.25833333,17.33333333,,,,,,,,
51,22.1,36.8,0,51.36666667,7.833333333,11.06666667,11.62,17.83333333,,,,,,,,
52,20.4,26.6,12.23833333,50.56666667,10.66666667,11.82142857,12.38666667,19.66666667,,,,,,,,
1,17.46666667,0,12.76166667,51.65,10.66666667,12.5,12.94166667,18.66666667,,,,,,,,
2,17.91666667,31.38333333,0,51.38333333,10.5,13.11111111,13.59333333,17.5,,,,,,,,
3,23.31666667,26.63333333,0,50.65,10.5,13.88888889,14.35166667,19.5,,,,,,,,
4,20.66666667,34.28,12.545,50.58333333,8.666666667,14.38888889,15.14,19.5,,,,,,,,
5,25.23333333,0,12.45333333,49.56666667,10.66666667,15.55555556,16.05333333,21.5,,,,,,,,
6,25.13333333,0,0,0,0,0,4.15625,21.33333333,,,,,,,,
7,25.13333333,34.54,12.31333333,47.01666667,12.33333333,16.77777778,17.38666667,22.16666667,,,,,,,,
8,26.08333333,25.38,12.19666667,45.98333333,12,17.55555556,18.27166667,21.33333333,,,,,,,,
9,21.55,0,12.565,47.81666667,10,18.55555556,19.07666667,23,,,,,,,,
10,25.3,0,13.01333333,48.6,9.666666667,19.24305556,20.02666667,21.83333333,,,,,,,,
11,22.51666667,31.12,11.80666667,44.93333333,9.5,20.19444444,20.655,21.16666667,,,,,,,,
52,15.56666667,22.33333333,9.678333333,40.33333333,9.333333333,7.583333333,7.833333333,18.33333333,,,,,,,,
1,15.125,0,0,0,0,0,4.15625,0,,,,,,,,
2,15.125,29.16666667,10.155,42.68333333,8.833333333,8.25,8.43,13.66666667,,,,,,,,
3,17,37.45,10.54166667,42.86666667,6.5,8.555,9.033333333,11.66666667,,,,,,,,
4,18.41666667,27.76,11.13833333,41.26666667,8.5,9.36,9.888333333,11.83333333,,,,,,,,
5,20.46666667,28.16666667,10.82,39.61666667,10.5,10.335,10.88833333,13.16666667,,,,,,,,
6,20.66666667,0,0,0,0,0,4.15625,0,,,,,,,,
7,21.16666667,28.5,11.84,39.5,10.66666667,11.88888889,12.44166667,15.33333333,,,,,,,,
8,20.9,24.65,11.30666667,39.3,11.66666667,12.66666667,13.10666667,16.83333333,,,,,,,,
9,21.91666667,24.63333333,10.86166667,38.08333333,10.66666667,13.44444444,13.82333333,18.66666667,,,,,,,,
10,16.7,31.13333333,11.30666667,38.03333333,11.33333333,14.08333333,14.52666667,20.33333333,,,,,,,,
11,24.41666667,31.1,11.15,37.08333333,10.66666667,14.77777778,15.30333333,19.16666667,,,,,,,,
12,19.83333333,23.58333333,9.781666667,37.83333333,13.83333333,15.56944444,16.16333333,20.5,,,,,,,,
13,22.83333333,27,10.39333333,31.5,12.16666667,16.44444444,16.84833333,20.83333333,,,,,,,,
14,25.25,26.83333333,9.551666667,36.83333333,10.5,17.19166667,17.45166667,21.5,,,,,,,,
36,29.5,16.6075,9.4475,39.25,19,5.625,6.375,12.5,,,,,,,,
37,27.5,12.75,9.7525,41.5,19.75,6.5,7.375,15.25,,,,,,,,
49,18.03333333,27.65555556,9.782222222,46.3,8.666666667,8.814814815,9.395888889,15.88888889,,,,,,,,
50,10.1,20.88888889,9.247777778,45.61666667,8.222222222,9.035185185,9.866666667,15.44444444,,,,,,,,
51,10.72222222,23.41111111,8.923333333,45.76666667,8,9.601851852,10.52777778,14.66666667,,,,,,,,
52,17.23333333,17.1,8.542222222,44.31666667,8.111111111,10.56851852,10.99955556,16.11111111,,,,,,,,
1,12.22222222,0,0,0,0,0,4.15625,16.11111111,,,,,,,,
2,12.22222222,29.68888889,8.736666667,46.33333333,7.333333333,11.28148148,11.47555556,14.88888889,,,,,,,,
3,15.82222222,30.4,10.01777778,47.28333333,6.555555556,11.71111111,11.97222222,14.44444444,,,,,,,,
4,14.08888889,28.87777778,10.46,47.25,7.222222222,12.12037037,12.46444444,14.88888889,,,,,,,,
5,16.35555556,27.67777778,10.36777778,45.25,7.333333333,12.82407407,13.20222222,14.88888889,,,,,,,,
6,18.87777778,0,0,0,0,0,4.15625,16,,,,,,,,
7,18.87777778,25.81111111,10.70444444,40.18333333,9.444444444,14.09179894,14.45222222,16.88888889,,,,,,,,
8,20.27777778,25.6,10.64,41.16666667,9.111111111,14.84074074,15.17444444,17.44444444,,,,,,,,
9,18.94444444,34.56666667,11.55555556,39.98333333,8.555555556,15.31984127,15.67111111,19.11111111,,,,,,,,
10,23.12222222,27.82222222,10.29,38.8,11.11111111,16.18425926,16.42222222,21.11111111,,,,,,,,
11,25.36666667,24.57777778,8.982222222,34.88333333,13.22222222,16.84021164,17.28333333,19.88888889,,,,,,,,
48,18.7,30.83333333,9.41,46.58333333,10.33333333,6.833333333,7.111,17.83333333,,,,,,,,
49,17.58333333,33.6,10.37666667,45.88333333,12,7.305,7.721666667,18.5,,,,,,,,
50,13.41666667,23.96666667,9.861666667,45.26666667,12,7.721666667,8.04,16.5,,,,,,,,
51,15.3,23.81666667,9.79,44.68333333,11.33333333,8.458333333,8.680333333,18,,,,,,,,
52,15.2,25.91666667,9.401666667,44.75,12.83333333,8.831666667,9.168333333,19.16666667,,,,,,,,
1,12.7,29.38333333,9.453333333,44.28333333,11,9.556666667,9.721666667,17.83333333,,,,,,,,
2,12.31666667,22.58333333,9.725,43.18333333,11.33333333,9.89,10.31833333,16.66666667,,,,,,,,
3,16.45,32.4,10.47,43,11.5,10.29833333,10.57,16.33333333,,,,,,,,
4,14.31666667,27.66666667,10.07166667,44.61666667,10.5,10.66666667,11.13,17,,,,,,,,
5,16.46666667,33.41666667,9.586666667,43.01666667,11.33333333,11.66666667,11.77666667,17.33333333,,,,,,,,
6,14.31666667,0,0,0,0,0,4.15625,0,,,,,,,,
47,12.16666667,18.33333333,12.03666667,48.16666667,9.333333333,0,4.15625,17.5,,,,,,,,
48,11.83333333,21.33333333,13.04333333,49.66666667,10,0,4.15625,10,,,,,,,,
49,11.83333333,22.5,13.59833333,49.33333333,10.66666667,0,4.15625,18.16666667,,,,,,,,
50,11,18.83333333,12.60666667,48.5,10.33333333,0,4.15625,17.16666667,,,,,,,,
51,11.16666667,17,12.73166667,46.5,8.666666667,0,4.15625,17.66666667,,,,,,,,
52,9.333333333,20.83333333,12.63666667,44.66666667,10.33333333,0,4.15625,16.66666667,,,,,,,,
1,10.33333333,23.5,13.17333333,44.33333333,8.166666667,0,4.15625,16.16666667,,,,,,,,
2,12.33333333,18,12.14,42.33333333,9.5,0,4.15625,16.33333333,,,,,,,,
3,10.33333333,23.5,13.315,44.16666667,10.16666667,0,4.15625,15.83333333,,,,,,,,
4,15,25.16666667,13.87333333,42,9.5,0,4.15625,16.5,,,,,,,,
5,14.5,20,0,42.16666667,9.5,0,4.15625,18.16666667,,,,,,,,
6,15.5,31,0,43,9.833333333,0,4.15625,19.33333333,,,,,,,,
7,14.66666667,14.66666667,13.75,43,11.83333333,0,4.15625,19.33333333,,,,,,,,
8,20.33333333,20,13.14833333,43.33333333,12.83333333,0,4.15625,20.83333333,,,,,,,,
9,15.33333333,31.16666667,0,43.83333333,11.16666667,0,4.15625,20.66666667,,,,,,,,
48,19.23333333,30.00909091,10.58416667,46.79166667,9.833333333,9.053333333,9.303333333,18.41666667,,,,,,,,
49,17.85,34.84,10.63333333,46.59166667,8.25,9.415833333,9.804166667,15.75,,,,,,,,
50,13.96666667,32.96,10.27666667,47.75,8,9.775833333,10.33083333,15.91666667,,,,,,,,
51,17.05833333,33.6,9.776666667,48.08333333,8.583333333,10.415,10.72,16.33333333,,,,,,,,
52,16.525,32.50833333,10.37333333,46.43333333,8.916666667,11.05333333,11.19333333,15.33333333,,,,,,,,
1,16.22083333,0,0,0,0,0,4.15625,0,,,,,,,,
2,16.22083333,29.73333333,10.61166667,45.16666667,9.75,11.9175,12.44333333,14.16666667,,,,,,,,
3,15.83333333,30.75833333,11.73166667,43.59166667,8.75,12.49916667,13.0825,13.66666667,,,,,,,,
4,16.90833333,31.65833333,12.31833333,44.25833333,9.916666667,13.11166667,13.62416667,13.83333333,,,,,,,,
5,18.00833333,32.89090909,12.5825,42.76666667,10.41666667,13.76416667,14.45833333,13.58333333,,,,,,,,
6,20.4,27.92727273,12.39416667,39.28333333,12.5,14.66666667,15.10333333,14.66666667,,,,,,,,
7,16.85833333,33.41666667,13.13333333,40.99166667,12.83333333,15.30555556,15.60666667,15.83333333,,,,,,,,
8,19.425,26.73,12.86333333,42.253,14.33333333,15.88888889,16.35916667,15.75,,,,,,,,
9,19.88333333,30.98181818,12.47916667,40.83333333,13.33333333,16.60416667,17.0475,17.25,,,,,,,,
10,23.625,22.36666667,10.62083333,40.41666667,14.83333333,17.32222222,17.88833333,17.5,,,,,,,,
19,21,12.51666667,6.843333333,38.25,13.16666667,22.19259259,22.57833333,24.66666667,,,,,,,,
20,25.53333333,17.15,8.036666667,38.78333333,14.83333333,23.12777778,23.34166667,22,,,,,,,,
15,23.96666667,17.88333333,9.633333333,39.30833333,13.66666667,19.03174603,19.42833333,23.5,,,,,,,,
16,24.43333333,12.55,7.448333333,38.1,14.5,19.80238095,20.16666667,24.83333333,,,,,,,,
17,26.26666667,13.2,7.716666667,38.38333333,13.83333333,20.7526455,21.10166667,24.16666667,,,,,,,,
9,22.83333333,23.88333333,10.92333333,42.61666667,11.5,14.38492063,14.74666667,21,,,,,,,,
10,22.33333333,20.53333333,10.23,40.03333333,12.83333333,15.18412698,15.56333333,21.66666667,,,,,,,,
11,23.61666667,28.58333333,10.32166667,40.55,12,15.7797619,16.14666667,23.33333333,,,,,,,,
6,18.275,0,0,0,0,0,4.15625,19,,,,,,,,
7,18.275,32.95,11.875,47.75,10.83333333,12.68452381,12.97,19.5,,,,,,,,
8,21.6,22.25,11.62666667,44.95,11.16666667,13.59920635,14.055,19.83333333,,,,,,,,
3,20.65,27.9,11.18833333,45.55,8.333333333,10.44444444,10.79833333,17.33333333,,,,,,,,
4,17.08333333,28.16666667,10.64666667,46.53333333,8.5,11.02738095,11.33833333,18.83333333,,,,,,,,
5,19.2,26.48333333,10.135,47.16666667,10.5,11.61210317,11.94,19.16666667,,,,,,,,
52,21.7,23.53333333,10.61666667,42.96666667,9.5,8.834722222,9.319166667,23.66666667,,,,,,,,
51,14.05,11.575,9.2975,44.8,13,9.5875,9.994047619,18.25,,,,,,,,
52,0,12.4,10.17,43.75,12.25,10.56666667,10.95238095,17,,,,,,,,
1,0,0,0,0,0,0,4.15625,0,,,,,,,,
2,19.6125,18.625,10.8425,43.425,11.25,11.58333333,12.1797619,15.75,,,,,,,,
3,22.025,11.55,9.16,44.1,11.75,12.3125,13.0360119,18.25,,,,,,,,
4,25.925,15.575,11.6,44.475,14,13.00833333,13.875,17.75,,,,,,,,
5,28.225,15.25,10.0075,41.875,13.75,13.975,14.39285714,22,,,,,,,,
6,28.275,18.25,11.3525,43.075,12.75,14.7,15.31587302,20.5,,,,,,,,
7,21.275,14.5,10.5325,41.6,15.5,15.5875,16.29004329,22,,,18.66333119,,,,,
8,22.95,16.375,10,41.575,11.5,15.9375,16.6625,21.25,,,,,,,,
9,23.675,12.16666667,7.12,38,14.25,16.69924242,17.64880952,21,,,,,,,,
10,25.1,10.95,8.22,37.65,14,17.53571429,18.39626623,24.25,,,,,,,,
11,22.525,11.6,6.48,34.1,12,18.40555556,19.35,22,,,,,,,,
12,21.45,7.5,5.7475,34.625,15.25,19.55,20.2,22.75,,,,,,,,
7,13.4,12.35,8.035,41.25,15.75,10.575,11.33333333,22.5,,,,,,,,
8,21.675,18.575,11.0575,44.15,14.75,12,12.43333333,25.25,,,,,,,,
9,12.6,14.125,9.6,42.525,13.25,12.625,13.08333333,24.5,,,,,,,,
10,17.7,14.375,9.82,43.1,15.75,13.15,13.61160714,24.25,,,,,,,,
11,20.65,16.7,10.555,40.975,15.5,14.25,14.50446429,25.5,,,,,,,,
12,26.425,13.9,11.1475,42.375,16,14.91666667,15.61904762,23,,,,,,,,
13,16.225,9.25,8.51,36.95,17,15.82857143,14.39285714,28,,,,,,,,
14,27.15,12.275,9.6025,42.525,16.25,17.08333333,16.66666667,29,,,,,,,,
15,26.25,12.075,8.8425,41.375,15,17.875,18.47777778,29.75,,,,,,,,
16,17.325,9.6,6.2475,40.45,14.5,16.375,16.75,29.75,,,,,,,,
17,23.375,19.2,7.7425,41.15,16.25,17.25,18,30.5,,,,,,,,
18,0,0,8.4575,42.975,14,18,19.5,27.25,,,,,,,,
19,0,0,7.98,45.875,14.75,18.5,4.15625,26.25,,,,,,,,
20,0,0,7.92,47.175,12.5,18.5,4.15625,20.75,,,,,,,,
49,21.125,17.2,9.885,54.1,8.75,4.0625,4.775,10,,,,,,,,
50,18.3,13.55,9.8525,55.85,12,4.6,5.454166667,11.25,,,,,,,,
16,19.3,11.275,8.4025,35.8,12,23.45,23.875,15.25,,,,,,,,
17,10.425,10.425,8.6725,38.25,4.75,24.25,4.15625,17.5,,,,,,,,
12,12.85,20.925,7.2375,38.925,11.5,20.925,21.275,12.5,,,,,,,,
11,18.2,14.925,7.1125,31.7,14.75,15.2275,15.6175,22.25,,,,,,,,
12,22.1,19.875,7.77,33.3,15.75,15.6,16.1,21.25,,,,,,,,
41,0,21.675,11.3975,44.925,7.75,3.5,4.535,7.25,,,,,,,,
42,18.9,10.325,8.04,48.4,10,4.235,5.83,9.75,,,,,,,,
47,22.175,17.85,12.09,55.675,10.25,1.833333333,2.433333333,5.5,,,,,,,,
48,22.25,25.65,12.6125,54.3,10.5,2.333333333,3.121428571,7,,,,,,,,
49,20.8,22.4,11.1825,48.6,12,3.083333333,3.954166667,9,,,,,,,,
43,15.925,14.475,9.0275,38.975,13,6.6,6.925,13.75,,,,,,,,
44,28.075,7.9,7.755,41.4,12.75,7.3325,7.4,13.25,,,,,,,,
42,15.15,12.575,6.675,39.35,12,3,3.583333333,7.75,,,,,,,,
43,14,0,8.32,41.475,14.25,3.666666667,4.15625,9.75,,,,,,,,
